"","AS","BA","BB","BC","CA","CR","FC","FV","GB","KC","MC","ML","OF","PC","PR","PT","SB","SC","SH","SL","TB","WC","WF","WH"
"locus153",0.2083,0.1875,0.45,0.0909,0.1429,0.2083,0.3889,0.4545,0.25,0.5,0.1875,0.1667,0.4375,0.375,0.2778,0.3333,0.4375,0.3889,0.4167,0.5,0.3,0.4,0.3636,0.0833
"locus154",0,0.0625,0,0.1364,0.1429,0.0417,0.1111,0,0,0.05,0,0.0556,0.0625,0.0417,0,0,0.0625,0.1111,0,0,0.05,0.15,0.2727,0.125
"locus155",0,0,0.05,0,0,0.0417,0.2222,0,0,0.1,0,0.1667,0,0.0417,0,0,0.0625,0,0.0833,0,0,0,0,0.0417
"locus156",0,0.0625,0,0.3182,0,0.0833,0,0,0,0,0,0.0556,0,0.0417,0,0,0,0,0,0,0,0,0,0
"locus157",0.0833,0,0.45,0.0455,0,0,0.0556,0.4091,0,0.05,0,0,0.1875,0.0417,0,0.1667,0.125,0.1111,0,0,0,0.05,0.0455,0
"locus158",0,0.0625,0,0.0455,0.0714,0,0.1111,0.1364,0.0625,0.05,0,0,0,0,0.0556,0,0.0625,0.2778,0,0,0,0,0.0455,0.25
"locus159",0,0.1875,0.15,0.0455,0,0,0,0.1364,0,0,0,0,0,0.1667,0,0,0.3125,0.0556,0,0,0,0.1,0,0
"locus160",0.2083,0.1875,0.1,0.1818,0,0.0417,0.2222,0.1818,0,0,0.0625,0,0,0.0417,0.1111,0,0.1875,0,0.0833,0,0,0.05,0.1364,0.25
"locus161",0,0.0625,0.1,0,0,0,0,0.0455,0,0,0,0,0,0.0833,0.0556,0.3333,0,0,0,0.2222,0.1,0,0,0
"locus162",0.375,0.1875,0.2,0.0909,0,0.0833,0.0556,0.4091,0.125,0.15,0.0625,0,0.25,0.4167,0.3333,0.3333,0.125,0.3333,0.0833,0.2222,0.4,0.3,0.3182,0
"locus163",0.0833,0.125,0.05,0,0,0,0.0556,0,0.125,0,0,0,0,0,0.2222,0,0,0.1667,0,0,0.05,0.05,0.0455,0
"locus164",0,0,0,0,0,0.25,0.0556,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0.1364,0.0833
"locus165",0.0833,0,0,0,0.0714,0,0.0556,0.0455,0.125,0.1,0.0625,0.0556,0,0,0.0556,0.1667,0.0625,0,0,0.0556,0,0,0,0
"locus166",0.125,0,0,0.1364,0,0.125,0,0,0.0625,0,0.0625,0,0,0.125,0.0556,0,0,0,0,0.1111,0.2,0.3,0.0455,0
"locus167",0.2083,0.0625,0.15,0.1818,0.2143,0.0417,0.0556,0.0909,0.125,0.05,0.0625,0.0556,0.125,0.0417,0.1111,0,0,0.0556,0,0,0.1,0.2,0.0455,0.0417
"locus168",0.0417,0,0,0.0455,0,0.0833,0,0,0,0,0.125,0.1111,0,0.0417,0,0,0,0,0,0,0.05,0,0,0
"locus169",0,0,0.05,0.0909,0,0,0,0.0909,0,0.05,0,0,0,0.125,0.1111,0,0.125,0,0,0.1111,0.15,0.15,0.0455,0
"locus170",0.125,0,0,0.1818,0,0,0,0,0,0,0.0625,0,0.0625,0,0,0,0,0,0,0.1111,0.25,0,0.0909,0
"locus171",0,0.25,0,0,0,0.2917,0.0556,0.0455,0.125,0.05,0,0,0,0,0,0,0,0,0,0.0556,0,0,0.1818,0.125
"locus172",0.0417,0.0625,0,0.1364,0,0,0.1667,0.0909,0.1875,0,0,0,0,0,0.1111,0,0.0625,0.0556,0,0,0,0.05,0.0455,0.0417
"locus173",0,0.125,0.05,0,0.0714,0,0.1667,0.0909,0,0.05,0,0.0556,0,0.0833,0,0,0,0.0556,0.0833,0.0556,0.05,0.05,0,0.0833
"locus174",0.25,0.375,0.45,0.4091,0.0714,0.2083,0.1667,0.4091,0.25,0.1,0.4375,0.0556,0.5,0.25,0.4444,0,0.5,0.4444,0,0.3889,0.45,0.4,0.4545,0.2917
"locus175",0,0.4375,0,0.0455,0.3571,0.3333,0,0,0.25,0.2,0,0.3333,0,0.0417,0,0.1667,0,0,0,0,0,0.05,0.0455,0.0833
"locus176",0.0417,0.125,0.3,0,0.1429,0,0.0556,0,0,0,0,0,0.0625,0.125,0,0,0.125,0.0556,0,0,0,0.1,0.0455,0.0833
"locus177",0,0.0625,0,0.1364,0.0714,0.25,0,0,0.375,0.05,0,0.0556,0.125,0.0833,0,0.1667,0.0625,0,0,0,0,0,0.0909,0.0833
"locus178",0.5,0.25,0.25,0.4545,0.2857,0.4583,0.1667,0.3182,0.3125,0.25,0.4375,0.4444,0.3125,0.25,0.4444,0.1667,0.3125,0.2778,0.4167,0.3333,0.3,0.25,0.1818,0.25
"locus179",0.3333,0.125,0.05,0.4091,0.0714,0.2083,0.0556,0.1364,0,0.15,0.125,0,0,0.1667,0.4444,0.5,0.125,0.0556,0,0.4444,0.35,0,0.3182,0.125
"locus180",0.125,0.125,0.05,0,0,0,0.1667,0,0,0,0.1875,0,0,0.0417,0.1667,0,0.0625,0,0,0.1111,0.05,0,0.0455,0
"locus181",0.0833,0.0625,0.1,0.1818,0,0.125,0,0.0455,0,0.2,0.0625,0.1111,0,0.125,0,0,0,0,0,0.3889,0.15,0,0.0909,0
"locus182",0.0417,0.0625,0.2,0,0.0714,0.0417,0,0.1364,0.125,0.05,0,0,0,0.0833,0,0,0.0625,0,0,0,0,0,0,0.2917
"locus183",0.0417,0.125,0.05,0.1364,0,0.0833,0.0556,0.1364,0,0,0.125,0,0.0625,0.0417,0,0,0.0625,0.0556,0.1667,0.1667,0.25,0.05,0.0455,0.125
"locus184",0,0.25,0.05,0.4091,0.3571,0.125,0.0556,0.0909,0.125,0.35,0,0.2778,0.1875,0.0833,0,0.1667,0,0,0.25,0,0.1,0,0.0455,0
"locus185",0.375,0.375,0.3,0.2273,0.4286,0.375,0.4444,0.3636,0.1875,0.4,0.4375,0.2222,0.4375,0.2917,0.5,0,0.125,0.2222,0.4167,0.0556,0.2,0.2,0.4091,0.4583
"locus186",0.0417,0.0625,0.1,0,0,0,0,0.0455,0,0,0,0,0.3125,0.125,0,0,0.125,0.0556,0,0,0,0.2,0,0
"locus187",0.0417,0,0,0.0909,0.0714,0.0417,0.0556,0.0909,0,0.05,0,0.1111,0.0625,0.125,0.0556,0,0.0625,0,0,0.1111,0,0.15,0.1364,0
"locus188",0.0417,0.0625,0,0.0455,0.1429,0.1667,0.0556,0,0.375,0,0,0,0,0.0833,0,0,0,0.0556,0,0,0.1,0.05,0,0.0833
"locus189",0,0.0625,0.1,0,0,0.0417,0.0556,0.1364,0,0,0,0.0556,0,0,0,0,0,0,0,0.0556,0,0,0,0.0417
"locus190",0.4583,0.1875,0.25,0.2273,0,0,0.2222,0.1818,0.1875,0.1,0.4375,0,0.375,0.2083,0.3889,0,0.375,0.2222,0.3333,0.5,0.35,0.4,0.4091,0.1667
"locus191",0.0417,0,0.15,0,0,0,0,0.1818,0.0625,0,0,0,0.0625,0.0417,0.2222,0.3333,0.0625,0.2222,0,0,0,0,0.1364,0.0417
"locus192",0,0.0625,0,0,0.1429,0.375,0.2222,0.0455,0,0,0.0625,0,0,0,0,0,0.0625,0,0,0,0.05,0.2,0.0455,0.125
"locus193",0.375,0.3125,0.3,0.3182,0.1429,0.375,0.3333,0.2273,0.3125,0.15,0.4375,0,0.3125,0.3333,0.3333,0,0.1875,0.1667,0.1667,0.1667,0.25,0.4,0.3182,0.25
"locus194",0.25,0.4375,0.35,0.4545,0.2143,0.375,0.4444,0.3182,0.5,0.45,0.3125,0.1667,0.25,0.2083,0.3333,0.1667,0.1875,0.3889,0.25,0.2778,0.15,0.45,0.1818,0.2083
"locus195",0,0.1875,0.05,0,0.0714,0.0417,0.0556,0,0,0,0,0,0,0,0,0,0,0.1111,0.0833,0,0,0.05,0,0.0417
"locus196",0,0.3125,0,0,0.2857,0.3333,0.4444,0,0.125,0.45,0,0.5,0.0625,0.0833,0,0,0.0625,0,0.4167,0.0556,0.1,0,0.0909,0.4167
"locus197",0.5,0.1875,0.05,0.3636,0,0.0417,0.2222,0.3636,0.4375,0.1,0.3125,0,0.5,0.2083,0.4444,0.3333,0.25,0.2222,0.25,0.5,0.3,0.15,0.3636,0.4167
"locus198",0.0417,0,0,0,0,0.0417,0,0,0.125,0,0,0,0,0,0.1667,0,0,0,0.0833,0,0.05,0,0.1818,0.0417
"locus199",0.1667,0,0,0.0455,0,0,0,0.0455,0.125,0.05,0.0625,0,0.0625,0,0.1667,0,0,0.0556,0,0.1111,0,0,0.4091,0.125
"locus200",0.2917,0.5,0.45,0.4545,0,0.2083,0.3889,0.3636,0.0625,0.15,0.125,0.0556,0.375,0.2917,0.1667,0.5,0.4375,0.1667,0.5,0.5,0.45,0.3,0.4545,0.375
"locus201",0.375,0.5,0.45,0.3636,0,0.25,0.2778,0.4091,0.5,0.3,0.4375,0.0556,0.5,0.5,0.4444,0.5,0.375,0.2778,0.1667,0.3333,0.4,0.45,0.0909,0
"locus202",0.0417,0.0625,0,0.1818,0,0.0417,0.0556,0,0,0,0,0,0.1875,0,0.1667,0,0.125,0,0,0.0556,0.05,0,0,0.0833
"locus203",0.0833,0,0.1,0.0909,0.0714,0,0.1111,0.0909,0,0.05,0,0,0.0625,0.125,0,0,0.25,0,0,0.0556,0,0,0,0.0417
"locus204",0.0833,0.0625,0,0.0455,0.0714,0,0,0,0.0625,0.05,0.0625,0,0,0,0.1667,0.1667,0.125,0.1111,0,0.1111,0,0,0.2727,0
"locus205",0.5,0.0625,0.5,0.4545,0.2857,0.0417,0.1667,0.2727,0.1875,0.1,0.25,0,0.375,0.2083,0.2778,0.3333,0.4375,0.2778,0.1667,0.3889,0.5,0.35,0.1364,0.0833
"locus206",0.0833,0.0625,0.5,0.0455,0,0,0.1667,0.4545,0.0625,0.1,0.1875,0,0.4375,0.4583,0,0.1667,0.4375,0.2222,0.1667,0,0.05,0.5,0.0455,0.0417
"locus207",0,0,0.15,0,0,0,0,0.1364,0.1875,0,0,0,0.0625,0,0,0,0.0625,0.0556,0,0.1111,0,0.15,0,0
"locus208",0.2917,0.1875,0.45,0.2727,0.1429,0.0417,0.1667,0.5,0.25,0.15,0.4375,0.1111,0.375,0.375,0.3889,0.3333,0.375,0.5,0.4167,0.0556,0.45,0.35,0.4091,0.25
"locus209",0.0417,0.1875,0,0,0.0714,0.1667,0,0.0455,0.3125,0.4,0.125,0.3333,0,0.0833,0.0556,0,0,0.1111,0,0.0556,0.05,0.05,0,0
"locus210",0.375,0.375,0.45,0.2727,0.5,0.375,0.2222,0.3182,0.5,0.25,0.3125,0.3889,0.4375,0.2917,0.4444,0.1667,0.375,0.4444,0.5,0.2778,0.15,0.4,0.4545,0.375
"locus211",0.25,0,0,0.0455,0,0,0,0,0,0.05,0,0,0.0625,0,0.2778,0,0,0,0,0.0556,0.2,0,0.0455,0
"locus212",0.2083,0.1875,0.05,0.1818,0.1429,0.0833,0.0556,0,0.125,0.15,0,0.1111,0,0.0417,0,0.1667,0,0,0.1667,0,0.2,0.05,0,0.125
"locus213",0.0417,0,0.15,0,0.0714,0,0,0.0455,0.0625,0.05,0.0625,0.0556,0.0625,0.0833,0,0,0.1875,0.0556,0,0,0,0.1,0,0
"locus214",0.1667,0.0625,0.05,0.0909,0.2857,0.125,0,0.1818,0,0,0,0,0.125,0.0417,0.1667,0,0,0.0556,0,0.0556,0.05,0.05,0.1364,0
"locus215",0.2083,0.5,0.25,0.1818,0.3571,0.5,0.1667,0.3636,0.5,0.4,0.375,0.2778,0.3125,0.25,0.5,0.3333,0.1875,0.3889,0.0833,0.4444,0.45,0.4,0.1818,0.375
"locus216",0,0.0625,0.05,0,0,0.1667,0.0556,0.0455,0,0,0.0625,0.0556,0,0.0417,0,0,0,0,0,0,0.05,0,0,0.125
"locus217",0,0,0,0,0,0,0.1111,0,0.375,0,0,0,0,0.0833,0,0,0.0625,0.1667,0,0,0.05,0,0,0
"locus218",0.0833,0,0,0.0909,0,0,0.0556,0.0909,0,0,0.0625,0,0.125,0.0417,0.1111,0,0.0625,0.0556,0,0,0,0,0.0909,0
"locus219",0.5,0.4375,0.4,0.3636,0.4286,0.5,0.3333,0.5,0.4375,0.4,0.3125,0.5,0.4375,0.4583,0.3889,0.3333,0.375,0.4444,0.5,0.2778,0.3,0.5,0.5,0.4167
"locus220",0.3333,0.5,0.45,0.2273,0.4286,0.2917,0.2778,0.2727,0.4375,0.25,0.125,0.3333,0.3125,0.375,0.1667,0.3333,0.4375,0.3889,0.4167,0.0556,0.35,0.25,0.2727,0.375
"locus221",0.2083,0,0.05,0.1364,0,0,0.0556,0,0,0,0.125,0,0,0.0417,0.0556,0.3333,0.0625,0,0,0.1111,0.1,0,0.0455,0.0833
"locus222",0.375,0.0625,0,0.4091,0,0.2917,0.0556,0.1364,0.0625,0.2,0.125,0.1667,0.125,0.0833,0.4444,0.1667,0.125,0.3333,0,0.3333,0.3,0.05,0.1364,0
"locus223",0.0417,0.0625,0,0,0,0,0.1111,0,0.125,0,0.0625,0,0,0,0.2222,0,0,0,0,0,0.05,0.05,0,0
"locus224",0.4583,0.25,0.4,0.4091,0.2143,0.3333,0.2222,0.0909,0.3125,0.25,0.4375,0.5,0.25,0.4583,0.2778,0.5,0.3125,0.2222,0.1667,0.4444,0.15,0.2,0.4545,0.125
"locus225",0.3333,0,0.2,0.0455,0,0,0.0556,0.3182,0,0,0,0.1111,0.1875,0.125,0.2222,0.1667,0.125,0.1111,0,0.3333,0.25,0.05,0.1818,0
"locus226",0,0,0.15,0,0,0.1667,0,0.0909,0,0.05,0.0625,0,0.1875,0.1667,0,0.1667,0,0.0556,0,0,0,0.05,0.0455,0
"locus227",0.0417,0.125,0.1,0.4545,0.0714,0.0833,0.0556,0.0455,0.125,0.05,0,0,0.0625,0,0,0.3333,0.125,0,0,0.3333,0,0.15,0.0455,0
"locus228",0,0.0625,0,0,0,0.1667,0.1111,0.0455,0.125,0.05,0.0625,0.1667,0.125,0.125,0,0,0,0,0,0,0.05,0.05,0.0455,0
"locus229",0,0.0625,0.15,0,0.1429,0.2083,0,0,0,0.25,0,0.3889,0,0.0833,0,0,0.0625,0,0.0833,0,0,0.05,0,0.125
"locus230",0.0417,0.0625,0.1,0.0909,0,0.0417,0,0.0455,0.0625,0.05,0.0625,0,0.0625,0.0833,0,0.1667,0.0625,0,0,0,0.1,0,0.0455,0
"locus231",0.25,0.125,0.05,0.1818,0.1429,0,0.2222,0,0.125,0,0,0,0.0625,0.0833,0.3889,0.1667,0.125,0,0,0.1667,0.2,0,0.1364,0.0417
"locus232",0.0417,0,0.1,0.0455,0.0714,0,0,0,0.125,0,0.0625,0.1111,0.125,0,0,0,0,0.0556,0,0,0.1,0,0.3182,0
"locus233",0.0417,0.4375,0.45,0,0.1429,0.4167,0,0.1818,0.25,0.3,0.0625,0.2778,0.1875,0.3333,0.2222,0.1667,0.3125,0.2778,0,0.1111,0.15,0.05,0,0.0417
"locus234",0.0833,0.3125,0.05,0.0455,0.2857,0.1667,0.2778,0.0909,0,0.2,0.375,0.2778,0.375,0.0833,0.1667,0,0.125,0.1667,0,0,0.1,0.2,0.4545,0.2083
"locus235",0.0833,0.0625,0.2,0.0909,0,0.125,0.0556,0.0909,0.125,0.15,0.125,0.0556,0.125,0.0833,0.2778,0.3333,0.125,0,0,0.1111,0.05,0.05,0.0909,0
"locus236",0,0.0625,0,0,0.1429,0,0.4444,0.0455,0,0.3,0,0.1111,0,0.0417,0,0.1667,0.0625,0,0.0833,0,0,0.05,0.0455,0.4167
"locus237",0,0,0.05,0.0909,0.0714,0.5,0.4444,0.0455,0,0,0.3125,0,0,0.0833,0,0.1667,0.1875,0.0556,0.0833,0.1667,0,0.05,0.2727,0.2917
"locus238",0.4167,0.375,0.25,0.5,0,0.125,0.2222,0.4091,0.375,0.1,0.3125,0,0.4375,0.4167,0.2778,0.3333,0.3125,0.2222,0.0833,0.4444,0.5,0.3,0.2727,0.0833
"locus239",0.2083,0,0,0,0.0714,0.0833,0,0.1364,0,0,0,0,0.4375,0.0833,0,0.1667,0.0625,0.1667,0,0,0.05,0.05,0,0
"locus240",0,0.0625,0.05,0,0,0,0,0.1818,0,0,0,0,0.0625,0.1667,0.0556,0,0,0,0.0833,0,0,0.15,0,0
"locus241",0.0833,0.25,0.15,0.0909,0.0714,0.125,0,0.1818,0.375,0.05,0.0625,0.0556,0,0.0833,0.0556,0.1667,0.375,0.1667,0.0833,0.1111,0.15,0.1,0.0455,0.125
"locus242",0.125,0,0,0.0455,0,0,0,0.0455,0,0.05,0,0,0,0,0,0,0,0,0.1667,0,0,0.15,0.0455,0
"locus243",0.3333,0.5,0.35,0.2727,0.2857,0.2083,0.3333,0.4545,0.25,0.4,0.1875,0.3333,0.25,0.2917,0.3889,0.3333,0.25,0.2778,0.3333,0.4444,0.45,0.35,0.4091,0.3333
"locus244",0.125,0,0.2,0,0,0,0,0.1364,0.125,0.05,0.0625,0,0,0.1667,0,0,0.0625,0.0556,0,0.0556,0.05,0.1,0.2273,0
"locus245",0.0833,0.125,0.1,0.0455,0.1429,0.4167,0.1111,0.2273,0,0,0,0,0.125,0.2083,0,0,0.125,0.1111,0.0833,0,0.1,0.05,0.0909,0.125
"locus246",0,0.1875,0.2,0,0.3571,0.125,0.3889,0,0,0.05,0.125,0,0.1875,0.125,0,0,0.125,0,0.0833,0,0.05,0.2,0.0909,0.3333
"locus247",0.0833,0.3125,0.45,0.2273,0.2857,0.4167,0.0556,0.3636,0.4375,0.4,0.3125,0.4444,0.3125,0.4167,0.2222,0.5,0.4375,0.1667,0,0.5,0.25,0.4,0.1364,0.1667
"locus248",0.1667,0.25,0.2,0.1364,0.5,0.25,0.2222,0.0909,0.1875,0.25,0.0625,0.2222,0.0625,0.25,0,0,0.125,0.2778,0.25,0,0.2,0.1,0.1818,0.2083
"locus249",0.0833,0.125,0.1,0.2273,0.1429,0.125,0.1667,0.0909,0.0625,0,0.25,0.0556,0.1875,0.125,0.1111,0.1667,0.125,0.0556,0.0833,0.2222,0.1,0.45,0.0455,0.2083
"locus250",0.4583,0.25,0.4,0.4091,0.3571,0.2917,0.3333,0.4091,0.4375,0.5,0.4375,0.4444,0.375,0.5,0.5,0.5,0.4375,0.5,0.5,0.3889,0.4,0.4,0.2273,0.5
"locus251",0.0833,0.0625,0.1,0,0.0714,0.0833,0.1667,0,0,0.1,0,0.0556,0.0625,0,0.0556,0,0,0,0,0.1111,0.05,0,0.0909,0.0833
"locus252",0.0833,0.1875,0.15,0.2273,0,0.0833,0,0.0455,0.3125,0.05,0,0,0.125,0.125,0.1111,0,0,0.1111,0.1667,0.0556,0.1,0.15,0.0909,0.0833
"locus253",0.0417,0,0.05,0.0455,0.0714,0.1667,0,0.0455,0,0.1,0.125,0,0,0.0833,0,0,0.0625,0,0.0833,0,0,0.1,0.0909,0
"locus254",0.125,0.3125,0,0.4091,0.0714,0.375,0.2222,0,0.3125,0.15,0.0625,0,0,0.0833,0,0,0.0625,0,0.0833,0.1111,0.5,0.15,0.0455,0.3333
"locus255",0,0,0,0,0,0,0,0.0909,0,0,0,0,0,0,0,0,0,0.1667,0,0.0556,0.05,0.1,0.0455,0
"locus256",0.4583,0.4375,0.4,0.3182,0.0714,0.1667,0.1667,0.5,0.5,0.15,0.375,0.1667,0.5,0.4167,0.2778,0.3333,0.4375,0.4444,0.3333,0.2778,0.45,0.4,0.4091,0.125
"locus257",0,0,0.15,0,0,0,0,0.2273,0,0,0,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0.0417
"locus258",0.1667,0.0625,0.2,0.0909,0,0.0417,0,0.0455,0,0,0.25,0,0.4375,0.0833,0.0556,0.1667,0.125,0.1667,0.0833,0.0556,0,0.25,0.0455,0
"locus259",0.0833,0.0625,0.15,0.0909,0.0714,0.0833,0.0556,0.1818,0,0,0.125,0,0.1875,0.125,0.0556,0,0.125,0.0556,0,0,0.15,0.25,0,0.0417
"locus260",0.125,0,0.05,0,0.2143,0.125,0.1111,0.0455,0,0.05,0.125,0,0.0625,0.0417,0.0556,0,0.25,0.1111,0.1667,0.1667,0.05,0.1,0.0455,0.4583
"locus261",0.0417,0.0625,0,0,0.0714,0,0.1667,0,0.0625,0,0,0.1667,0,0,0,0,0,0,0,0.0556,0.05,0,0,0.0417
"locus262",0,0.3125,0,0,0.0714,0.125,0,0,0,0.3,0,0.2222,0,0,0,0,0,0,0,0,0,0,0.0455,0
"locus263",0,0,0.25,0,0,0,0,0.3182,0,0,0,0,0,0.125,0,0,0,0.1111,0.0833,0,0,0.05,0,0
"locus264",0.4167,0.25,0.45,0.4545,0.2857,0.1667,0.5,0.3636,0.4375,0.15,0.5,0.0556,0.5,0.5,0.3889,0.5,0.5,0.5,0.25,0.5,0.45,0.35,0.4091,0.4583
"locus265",0.0417,0.0625,0.1,0.1818,0.0714,0.0417,0,0.0455,0,0.05,0.1875,0,0.1875,0.125,0,0,0.1875,0,0.0833,0,0.1,0.05,0,0
"locus266",0,0.25,0.05,0,0,0.1667,0.0556,0.0455,0,0.1,0,0,0.0625,0.0417,0.0556,0,0,0,0,0,0,0,0,0
"locus267",0,0,0,0,0,0,0,0,0,0.2,0,0.2778,0,0,0,0,0,0.0556,0.1667,0,0,0,0,0
"locus268",0.0417,0,0,0.0455,0,0.0833,0,0,0,0.1,0,0,0,0.0417,0.0556,0,0,0.0556,0,0,0,0,0.0455,0
"locus269",0.1667,0.125,0,0,0,0,0,0,0.1875,0.05,0,0,0.1875,0.125,0,0.1667,0,0.0556,0.0833,0.2222,0,0.05,0.0455,0
"locus270",0.125,0.375,0.3,0.2727,0,0.4583,0.2778,0.1364,0.3125,0.15,0.25,0.0556,0.1875,0.5,0.1667,0.5,0.375,0.2778,0.3333,0.5,0.4,0.45,0.4091,0.2917
"locus271",0.3333,0.1875,0.35,0.3636,0.3571,0.1667,0.3333,0.1818,0.25,0.2,0.375,0,0.0625,0.3333,0.1667,0.3333,0.3125,0.3333,0.3333,0,0.15,0.35,0.5,0.2917
"locus272",0,0.0625,0,0,0,0,0.0556,0,0.0625,0.05,0.0625,0,0,0.0417,0.0556,0,0,0,0.1667,0,0,0.1,0.0909,0.125
"locus273",0.0417,0.0625,0.25,0.2273,0.0714,0.0833,0.0556,0.0455,0.125,0.5,0.0625,0.2222,0.25,0.2083,0.1667,0.1667,0.0625,0.1667,0.0833,0.0556,0.05,0.2,0.0455,0.0833
"locus274",0.0833,0.25,0,0.0455,0,0,0,0.0455,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0
"locus275",0.0833,0.3125,0.2,0.4545,0.2143,0.375,0.2778,0.2727,0.0625,0.1,0.3125,0.2778,0.0625,0.4167,0,0,0.3125,0.0556,0.25,0.1667,0.15,0.4,0.0909,0.5
"locus276",0.0833,0.0625,0,0,0,0,0,0,0,0,0.0625,0,0.0625,0.0417,0.1111,0,0.1875,0.0556,0,0,0.05,0.05,0,0
"locus277",0,0.125,0.1,0,0,0.0417,0,0.1364,0,0.05,0,0,0.125,0,0,0,0.125,0.2778,0,0,0,0.05,0.0455,0.125
"locus278",0.2083,0.0625,0.05,0.1364,0,0,0.0556,0.1818,0.0625,0.05,0,0,0.25,0.0833,0,0.3333,0,0.1111,0,0,0.05,0.1,0,0
"locus279",0.2083,0,0.05,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.125,0.1111,0,0.3333,0,0.1,0.0909,0.0417
"locus280",0.2083,0.3125,0.35,0.2727,0.0714,0.125,0.1111,0.3182,0.25,0.25,0,0.0556,0.25,0.3333,0.0556,0.3333,0.375,0.2222,0,0.1111,0.3,0.5,0.1818,0.0417
"locus281",0,0.0625,0.05,0,0,0.0417,0.1667,0,0,0,0,0.1111,0.0625,0.0417,0,0,0,0,0,0,0,0,0,0.0833
"locus282",0,0.1875,0,0,0,0.0417,0,0,0.125,0.1,0,0.2222,0,0,0,0.1667,0,0,0,0.0556,0,0,0.0909,0
"locus283",0.25,0.125,0.3,0.4091,0,0.0833,0.1667,0.3636,0.1875,0.15,0.3125,0,0.375,0.375,0.1667,0.3333,0.375,0.4444,0.3333,0.1667,0.45,0.3,0.3182,0.125
"locus284",0,0,0.15,0,0,0,0,0.1364,0,0,0,0,0,0,0,0,0.1875,0,0,0,0,0.15,0,0
"locus285",0.375,0.125,0.05,0.3636,0.2143,0.0833,0,0.1818,0.3125,0.2,0,0.1667,0.4375,0.1667,0.3889,0.1667,0.0625,0.1667,0,0.3889,0.1,0.1,0.5,0.0417
"locus286",0.2083,0.0625,0.15,0.0455,0,0.125,0.1667,0.1818,0,0.15,0.125,0,0.125,0.1667,0.2222,0,0.1875,0.3333,0.1667,0.5,0.05,0.15,0.1364,0
"locus287",0,0,0.15,0,0,0,0.1111,0,0,0.05,0,0,0,0.2083,0,0,0.1875,0,0,0,0,0,0,0
"locus288",0,0.0625,0,0,0,0.125,0,0,0,0.25,0,0.3889,0,0,0,0,0.0625,0,0,0,0,0,0,0.0417
"locus289",0,0.125,0.05,0.0455,0,0,0,0.0455,0,0,0.1875,0,0.0625,0,0,0,0,0,0,0,0.1,0,0,0
"locus290",0.0417,0.1875,0.25,0,0,0.125,0,0.0455,0,0.1,0,0,0.4375,0.1667,0,0.1667,0.25,0.3333,0.0833,0,0,0.1,0,0.0417
"locus291",0.5,0.5,0.3,0.2727,0.3571,0.5,0.3889,0.5,0.3125,0.2,0.4375,0.2778,0.1875,0.375,0.4444,0.5,0.375,0.4444,0.3333,0.2778,0.45,0.5,0.4545,0.25
"locus292",0,0,0.05,0,0,0.0417,0,0.0455,0,0,0,0,0.0625,0,0.0556,0,0,0.0556,0,0,0,0.2,0,0
"locus293",0,0.3125,0.1,0,0.1429,0.0833,0,0.2273,0,0.05,0.1875,0,0.3125,0.125,0,0,0.125,0.1111,0,0.2222,0,0,0.0455,0.0833
"locus294",0.125,0,0.15,0,0,0.0417,0,0.0909,0,0.05,0,0,0,0.0417,0,0.1667,0,0,0,0,0,0.1,0.0455,0
"locus295",0.2083,0.125,0.15,0.4091,0.5,0.0417,0.3889,0.2273,0.4375,0,0.5,0,0.375,0.2083,0.2778,0,0.25,0.2222,0.3333,0.1111,0.25,0.35,0.4091,0.4167
"locus296",0.0833,0.125,0.2,0.2727,0,0,0.3889,0.0455,0,0.05,0.25,0.1111,0.375,0.25,0.2222,0.1667,0.25,0.1667,0.0833,0.0556,0.2,0.3,0.1364,0.1667
"locus297",0,0,0.05,0,0,0,0.0556,0,0,0,0,0,0,0.0417,0,0,0,0.4444,0,0,0.05,0,0,0.0417
"locus298",0.1667,0,0,0.0455,0,0,0,0.0455,0,0,0,0,0,0.0417,0.1667,0,0.0625,0,0,0,0.25,0.05,0.0455,0
"locus299",0.0417,0.125,0.15,0.0455,0,0.0417,0,0.0909,0,0,0.0625,0.0556,0.0625,0.125,0,0.1667,0.125,0,0.1667,0.1111,0,0.2,0.0455,0.0417
"locus300",0.125,0,0.1,0.0909,0,0.0833,0.0556,0.2727,0,0,0.0625,0,0.0625,0.2917,0.0556,0.1667,0.25,0.0556,0.0833,0,0.3,0.3,0.1818,0
"locus301",0.0833,0.125,0.15,0,0.2857,0.375,0.1111,0.1818,0.0625,0,0.0625,0.0556,0.125,0.125,0,0,0.375,0,0,0,0.1,0.15,0.2273,0.1667
"locus302",0.1667,0.4375,0.15,0.2727,0.2143,0.5,0.4444,0.2273,0.1875,0.3,0.5,0.3333,0.125,0.0833,0.2778,0.1667,0.125,0.1111,0.4167,0.1667,0.45,0.15,0.4091,0.3333
"locus303",0.0417,0.125,0.05,0.0909,0,0.1667,0.1111,0.1364,0.1875,0.4,0.0625,0.0556,0.1875,0.0833,0.1667,0.1667,0,0.1667,0.0833,0,0.1,0.3,0,0.0833
