"","AS","BA","BB","BC","CA","CR","DA","FC","FV","GB","KC","MC","ML","OF","PC","PM","PR","PT","SB","SC","SH","SL","TB","WC","WF","WH"
"locus145",0.9545,0.9375,0.9,1,1,1,1,1,0.9545,1,1,1,1,1,0.9167,1,0.9444,0.6667,1,1,1,0.7222,1,1,1,1
"locus146",0.5,0.75,0.8333,0.95,1,0.9091,0.8333,0.9375,0.6111,0.9286,0.8636,0.9286,1,0.7143,0.6111,0.6,0.3571,0.75,0.8571,0.625,0.9167,0.8,0.5714,0.75,0.7222,1
"locus147",0.9583,0.875,1,1,1,1,1,0.9444,1,0.875,1,1,1,1,1,0.9545,0.7778,1,1,0.8333,1,1,0.95,0.95,0.9545,1
"locus148",1,1,1,1,1,0.75,1,0.875,1,1,1,1,1,1,1,1,1,1,0.9375,1,1,1,1,1,0.8636,0.9091
"locus149",0.9167,1,1,1,0.9444,1,1,0.9444,0.9545,0.875,0.9091,0.9375,0.95,1,1,1,0.9444,0.8333,0.9375,1,1,0.9545,1,1,1,1
"locus150",0.9091,1,1,0.8636,1,0.875,0.9,1,1,0.9375,1,0.9375,1,1,0.875,1,0.9444,1,1,1,0.9286,0.9091,0.875,0.7222,0.9545,1
"locus151",0.6429,0.9375,0.85,0.8125,0.875,0.9545,1,1,0.9091,0.9286,0.9545,0.9375,0.95,0.9286,0.9583,1,0.8333,1,1,1,1,1,0.9,0.8,0.9545,0.9583
"locus152",0.9583,1,1,0.9545,1,0.9167,1,1,1,1,1,0.875,0.9,1,0.9583,1,1,1,1,1,0.9286,1,0.95,1,1,1
"locus153",1,1,0.95,0.9091,1,1,0.625,1,0.9091,1,0.9545,1,1,1,0.875,0.65,0.8333,1,0.875,1,1,0.9091,0.85,0.85,0.9545,1
"locus154",0.9091,1,1,0.8,1,1,1,1,1,1,1,0.9375,1,0.9375,1,1,1,1,1,1,1,0.9091,0.6875,1,0.9091,1
"locus155",0,0.1429,0,0,0,0.2917,NA,0.0556,0.0455,0.1429,0.0455,0,0,0,0,0.3333,0,0,0,0,0,0.0455,0,0,0.1818,0.125
"locus156",0.9583,0.9375,1,0.8636,1,1,1,0.8333,0.95,0.8125,1,1,1,1,1,1,0.875,1,1,0.9444,1,1,1,0.95,1,0.9545
"locus157",1,0.875,0.95,1,0.9444,1,1,0.9375,0.9091,1,0.9545,1,0.95,1,0.9167,1,1,1,1,0.9444,0.9286,0.9545,0.95,0.95,1,0.9167
"locus158",0.7273,0.3333,0.3889,0.3889,0.1429,0.1667,1,0.1429,0.3571,0.8333,0.25,0.4375,0.0833,0.5,0.2727,1,0.6667,0,0.4286,0.5625,0,0.5625,0.5625,0.375,0.5,0.3
"locus159",1,0.5,1,0.9545,0.6667,0.6875,0.5,1,1,1,0.1667,1,0.3333,1,0.9583,0.5,1,0.8333,1,1,1,1,1,0.95,0.95,0.8571
"locus160",0.9583,0.875,0.625,1,0.8889,1,1,0.9444,1,1,1,1,1,0.9375,0.875,1,1,1,0.8333,0.9444,1,1,1,0.9,1,0.9167
"locus161",1,0.9375,1,0.8636,0.9444,0.9,NA,1,1,0.875,0.9545,1,0.95,0.875,0.9167,1,1,0.8333,0.9375,1,1,1,1,1,0.9091,0.9167
"locus162",0.55,0.7143,0.25,0.5,0.3333,0.5556,0,0.1667,0.2857,0.6429,0.8571,0.375,0.75,0.3,0.2222,0,0.5,0,0.375,0.25,0.4,0.1,0.3,0.1429,0.2143,0.25
"locus163",1,0.75,1,1,1,0.9167,1,1,0.6667,1,0.9545,1,1,1,0.75,1,0.9444,0.8333,1,0.9444,1,1,1,0.6429,1,1
"locus164",0.9583,1,0.9444,1,1,1,0.6,1,0.95,1,1,1,1,1,0.9583,0.3571,1,1,1,1,1,1,1,0.9444,1,1
"locus165",0.3,0.1667,0.05,0.4375,0.1667,0.2222,0,0.0714,0.1364,0,0.1875,0.1429,0,0,0.1667,0.0455,0.4286,0.5,0.125,0.0714,0,0.375,0.5,0,0.1,0.15
"locus166",0.875,0.875,0.95,1,1,1,1,0.8333,1,1,1,0.9286,1,1,0.9583,1,0.875,1,0.9375,1,1,0.95,0.95,1,0.9545,1
"locus167",0.9167,0.9375,0.9,0.8182,1,0.875,1,1,0.9545,1,0.7857,0.9375,0.8333,1,0.875,0.9545,1,1,1,1,1,0.6818,0.9444,1,0.9091,1
"locus168",0.9583,0.9375,0.8333,1,0.8889,0.9583,0.875,1,0.8636,0.875,0.9545,1,1,1,0.9167,0.95,1,1,1,1,1,1,1,1,1,0.75
"locus169",1,1,1,0.8636,1,1,1,1,0.9,1,1,0.875,1,0.9375,0.9583,1,1,1,0.9375,0.9444,0.9286,0.85,0.7778,1,0.9545,0.9545
"locus170",1,0.75,0.95,0.5909,0.6111,0.875,1,1,0.9091,0.875,0.35,1,0.6667,0.8125,0.9167,1,1,0.8333,1,1,0.7857,1,0.9,1,0.9545,1
"locus171",0.3333,0.5,0.25,0.125,0.6,0.4,0,0.4375,0.3125,0.1429,0.375,0.5,0.3571,0.5714,0.2727,0,0.4286,0,0.125,0.25,0.5,0.05,0.1667,0.2222,0.5,0.5417
"locus172",0.9583,0.9375,0.9,1,1,1,1,1,0.9545,1,1,1,1,0.6875,0.875,1,1,1,0.9286,0.9444,1,1,1,0.7778,1,1
"locus173",0.9583,1,1,0.95,0.9444,0.9583,1,0.9444,0.9091,1,0.9545,1,0.9,0.9375,0.875,1,0.9444,1,0.9375,1,1,0.9091,1,0.85,0.8636,1
"locus174",1,0.9375,1,0.9545,1,0.9091,1,0.9444,1,0.6667,1,1,1,1,0.9545,1,1,1,1,0.9444,1,1,0.9,0.9444,1,0.95
"locus175",0.5417,0.8333,0.7857,0.8,1,1,0.5,0.8125,0.7778,0.8125,0.9091,0.5,1,0.6,0.8333,0.8,0.6111,1,0.6429,0.8125,0.6429,0.5556,0.65,0.6,0.55,0.85
"locus176",0.9583,1,0.85,1,1,1,1,1,0.8182,0.9375,1,1,1,0.9375,0.9583,1,0.7778,0.75,0.9375,0.7778,1,1,1,1,0.8636,0.9583
"locus177",1,0.9375,1,1,0.75,0.625,1,0.7778,0.9545,1,1,0.9375,1,1,1,0.9091,1,1,0.9375,1,1,1,0.95,0.75,0.9545,0.875
"locus178",0.5909,0.3571,0.7,0.6818,0,0.4091,1,0.3125,0.7727,0.7143,0.1364,0.5625,0.05,0.6875,0.6667,0.9545,0.6667,1,0.8125,0.8333,0.8333,0.8636,0.75,0.6667,0.65,0.2727
"locus179",0.75,0.5714,0.6875,0.5833,0.3333,0.3125,0.6,0.5,0.7,0.5833,0.3333,0.7143,0.1875,0.75,0.7917,0.6875,0.7857,1,0.8333,0.7143,0.7143,0.75,0.85,0.5556,0.7778,0.3571
"locus180",1,0.6875,1,1,0.7,0.6111,1,0.5,1,0.875,0.5909,1,0.5,0.9375,0.9167,0.9545,1,1,0.9375,1,0.3333,0.9545,0.9,1,1,0.4
"locus181",0.5,0.1875,0,0.3333,0.25,0.0556,1,0.1875,0.3125,0.5,0.0909,0.25,0,0.5,0.2083,0.875,0.4444,0.25,0.2143,0.2857,0.1667,0.5,0.75,0.15,0.35,0.4167
"locus182",0.8333,1,1,0.9545,1,1,1,1,0.9545,0.875,0.9545,0.9375,1,0.9375,1,0.8182,0.8333,1,1,0.9444,1,0.9,1,1,0.55,0.875
"locus183",0.6818,0.5,0.5,0.4444,0,0.25,0,0.3,0.4444,0.0714,0.1,0.25,0.05,0.5,0.25,0.2222,0.2143,0.5,0.5,0.1875,0.5,0.5,0.5,0.6875,0.5625,0.2143
"locus184",0.3333,0.5,0.45,0.3571,1,0.7273,0.6667,0.8333,0.5,0.5,0.75,0.6429,0.95,0.5,0.45,0.9545,0.4375,0.5,0.4286,0.2143,0.75,0.2,0.375,0.5,0.1,1
"locus185",0.9583,0.9375,1,0.8182,1,0.9583,1,0.9444,1,1,1,1,1,0.8125,1,0.9091,0.8333,1,0.875,1,1,1,0.95,1,1,0.9545
"locus186",0.9167,1,0.9444,0.9091,0.9444,1,1,0.8889,0.9091,1,1,1,1,0.9375,0.875,1,1,1,0.75,1,1,0.9545,1,1,1,0.9583
"locus187",0.95,0.9375,1,0.9545,0.9444,1,1,1,1,0.9375,0.9545,0.9375,1,1,1,1,0.8125,0.8333,0.9286,0.8889,1,0.8889,1,1,0.75,1
"locus188",0.9545,0.9375,0.5,0.9545,1,1,1,0.75,0.4444,0.9375,0.9091,0.8,1,0.5625,0.5417,0.9545,1,0.75,0.5625,0.7778,0.75,1,0.95,0.5,0.9545,0.9583
"locus189",0.9583,0.7857,1,1,0.9444,0.9091,1,1,0.9545,0.6875,0.7143,0.875,0.9,1,0.9167,1,0.9444,1,1,0.875,1,0.9545,0.95,0.95,1,1
"locus190",0.9583,1,0.95,1,0.8333,1,1,1,1,0.9375,0.95,1,1,0.75,1,1,1,1,1,0.9444,1,1,1,1,1,1
"locus191",0.625,0.625,0.45,0.75,0.5,0.65,0.9,0.1875,0.35,0.5,0.6667,0.3571,0.3889,0.3571,0.2727,1,0.5625,0.1667,0.3571,0.4375,0.5,0.7727,0.8889,0.5556,0.4375,0.3333
"locus192",0.75,1,1,0.9545,1,1,1,1,1,1,0.9545,1,1,0.9375,1,1,0.75,1,1,1,1,0.9545,0.8,1,1,1
"locus193",0.4,0.875,1,0.75,1,0.875,0.9,1,1,1,0.9545,1,1,0.9375,0.875,1,1,1,0.9286,0.9444,1,0.15,0.5625,0.9,0.8571,1
"locus194",0.8182,0.8125,0.95,0.7778,0.8333,0.9091,1,0.9444,1,0.875,0.8636,1,0.9,1,0.9583,0.9545,1,1,1,1,0.8571,1,0.8,0.9375,1,0.875
"locus195",0.9583,1,0.85,1,0.9444,1,0.7,1,0.9545,0.9375,0.9545,0.9375,0.95,0.9375,0.9167,1,1,1,0.8125,0.9444,1,1,1,0.9,1,1
"locus196",0.8333,0.9375,0.95,0.9091,0.875,0.875,0.6,1,0.85,1,1,1,1,0.875,0.9583,0.6111,0.8333,1,1,0.9375,1,0.9545,0.95,0.95,0.8636,1
"locus197",0.2,0.5833,0.7857,0.2,0.75,0.5,1,0.8333,0.75,0.5,0.55,0.5833,0.6875,0.6,0.75,0.6875,0.5,0.6667,0.8125,0.6875,1,0.5556,0.5556,0.6111,0.2143,0.6
"locus198",1,0.9375,0.9,0.9545,0.9444,0.9583,1,1,0.9545,1,1,0.9375,0.95,1,1,1,1,0.8333,1,1,1,1,1,1,0.8636,0.7917
"locus199",1,1,1,1,1,1,NA,0.8889,1,0.625,1,1,1,1,0.9545,1,1,1,0.9375,0.8333,1,1,1,1,1,1
"locus200",0.5,0.5625,0.4,0.6364,0.5556,0.5,0.8,0.6667,0.5,0.4375,0.65,0.6429,0.5,0.5714,0.4583,0.8182,0.6111,0.3333,0.4286,0.5556,0.5,0.7,0.7222,0.5,0.5,0.4167
"locus201",0.7,0.5,0.5556,0.6667,0.5,0.6818,1,0.6875,0.6667,0.5,0.8125,0.8,0.8333,0.6875,0.6,0.75,0.8333,0.6667,0.4,0.6667,0.5,0.9545,0.6667,0.7778,0.8,0.6111
"locus202",0.6818,0.9375,1,0.5909,1,0.7273,0.9,0.9444,0.8636,0.9375,0.8182,0.875,0.8,0.875,0.9167,0.8,0.5556,0.8333,0.875,0.6875,1,0.3182,0.7,0.9444,0.8636,1
"locus203",0.9583,0.9375,1,1,1,1,0.6667,0.8889,1,0.875,1,0.9375,1,1,1,1,0.8125,1,1,1,1,1,0.95,0.95,1,1
"locus204",0.6667,0.2857,0.4375,0.5,0,0.3333,0.4,0.2143,0,0.3125,0.7,0.1667,0.5,0.25,0.4375,0.4545,0.6875,0.5,0.3,0.2222,0,0.55,0.1111,0.0714,0.4,0
"locus205",0.7,1,0.8125,0.9375,1,1,1,0.9444,0.6875,1,1,1,0.9,0.8125,0.875,0.9545,1,0.75,0.8333,0.8333,1,0.6875,0.7857,0.9375,0.75,1
"locus206",0,0,0.15,0,0,0.1667,0,0,0.0909,0,0.0455,0.0625,0,0.1875,0.1667,0,0,0.1667,0,0,0,0,0,0.05,0.0455,0
"locus207",0.75,0.9375,0.95,0.6667,1,0.8636,0.125,0.8125,0.85,0.5714,0.8636,0.9,1,0.7857,0.9545,0.1,0.3571,NA,0.9286,0.6667,0.9286,0.9091,0.8,0.9167,0.9,0.9167
"locus208",0.9545,0.875,0.9,0.5,0.9444,0.9167,1,1,0.9545,0.875,0.9545,1,1,0.9375,1,0.9545,1,0.6667,0.875,1,1,0.6429,1,0.85,0.9545,1
"locus209",0.0909,0.0714,0,0,0,0.2222,0,0.0625,0,0.1429,0.0556,0.0625,0.1875,0.125,0.125,0.1111,0,0,0,0,0,0.0455,0.05,0.05,0.0556,0
"locus210",0.2222,0.3125,0.5556,0.4444,0.1667,0.4,0.375,0.1667,0.3333,0.375,0.4375,0.1,0,0.5,0.4545,0.3636,0.3571,0,0.3333,0.5,0.1667,0.5,0.25,0.3125,0,0.2
"locus211",1,0.9375,0.85,1,0.8,0.875,1,1,1,1,0.2857,1,0.6429,1,0.9167,1,1,1,0.9375,1,0.9286,1,1,0.95,1,0.875
"locus212",0.55,0.8333,0.25,0.65,0.5,0.65,0.625,0.4,0.5,0.7143,0.5,0.4286,0.4167,0.3125,0.375,0.7,0.625,0.5,0.5,0.5625,0.5833,0.5,0.625,0.4167,0.55,0.6
"locus213",1,1,0.9,1,1,1,0.375,1,0.9545,1,1,1,0.95,1,1,0.5,0.9444,1,1,0.9444,1,1,1,1,1,1
"locus214",0.9583,0.9375,0.9444,1,1,1,1,1,0.9545,0.9375,0.9545,0.9375,1,1,0.9167,0.9545,1,0.8333,0.9375,1,1,1,0.9,1,0.9545,1
"locus215",0.75,0.875,0.9444,0.8182,0.8889,1,1,0.8125,1,0.875,1,1,1,0.9375,0.9167,1,0.5,0.8333,1,1,1,0.7778,0.7778,1,0.8636,0.9583
"locus216",0.9583,1,0.9,0.9545,0.9444,1,1,1,1,0.875,1,0.9375,0.9,0.875,1,1,1,1,1,1,1,1,0.9,1,0.6818,1
"locus217",0.9167,0.6875,0.9444,0.9545,0.6667,0.8333,1,0.7222,0.95,1,0.8182,0.6429,0.7,0.625,0.9167,1,0.8125,1,0.875,0.8333,0.9286,1,0.9,0.9286,0.5455,0.7727
"locus218",0.9091,0.9375,0.8,0.9091,1,0.9091,1,1,0.95,0.875,0.8889,0.875,0.95,0.875,0.9167,0.8182,0.7222,0.75,0.875,1,1,0.8889,0.9444,0.95,0.9091,1
"locus219",1,0.9375,1,1,0.875,1,1,0.6429,0.95,1,0.7222,1,0.875,1,0.9583,0.9,1,0.8333,0.9375,1,0.8333,1,1,0.95,1,0.5455
"locus220",1,1,0.95,0.9091,0.8889,0.5,1,0.5,1,1,1,0.6429,1,1,0.9091,1,1,0.8333,0.8571,0.9444,0.9167,0.8636,1,0.95,0.7273,0.35
"locus221",0.2083,0,0,0,0.0556,0.0833,0.5,0,0.1364,0,0,0,0,0.375,0.0833,0.1111,0,0.1667,0.0625,0.1875,0,0,0.0556,0.05,0,0
"locus222",1,0.9375,0.95,1,1,1,1,1,0.8182,1,1,1,1,0.9375,0.8333,1,0.9444,1,1,1,0.9286,1,1,0.85,1,1
"locus223",0.9167,0.75,0.85,0.9091,0.9444,0.9091,1,1,0.8182,0.625,0.9545,0.9375,0.95,1,0.9545,1,0.9444,0.8333,0.625,0.8333,0.9286,0.9091,0.8889,0.9444,0.95,0.875
"locus224",0.6667,0.5,0.65,0.6667,0.625,0.7727,0.875,0.6429,0.55,0.8333,0.6111,0.7857,0.6667,0.7857,0.6818,0.6,0.625,0.6667,0.7143,0.7222,0.6667,0.5909,0.55,0.6667,0.5909,0.625
"locus225",0.0833,0.1429,0.1111,0.0455,0.1667,0.4167,0,0.1429,0.2273,0,0,0,0,0.125,0.2083,0,0,0,0.125,0.1111,0.1,0,0.1,0.05,0.0909,0.15
"locus226",0,0.2143,0.2857,0,0.2857,0.1875,0,0.3571,0,0,0.0455,0.1429,0,0.2143,0.1667,0.0455,0,0,0.1667,0,0.125,0,0.05,0.25,0.1667,0.7222
"locus227",0.0833,0.4167,0.5,0.2,0.3333,0.4167,0.1,0.0556,0.35,0.5625,0.5,0.2857,0.625,0.3571,0.4091,0.2727,0.2222,0.5,0.4167,0,0,0.55,0.25,0.4444,0.15,0.1667
"locus228",0.8333,0.8571,0.7778,0.8636,0.6875,0.75,0.8,0.875,1,0.7857,0.7727,0.9,0.8,0.9167,0.8333,1,1,1,0.8571,0.6875,0.75,1,0.7778,0.8571,0.85,0.7917
"locus229",0.9583,1,0.95,1,1,1,0.8,1,0.9091,0.9286,0.95,1,1,1,0.9583,0.6,0.9444,1,1,1,1,1,0.95,0.95,1,1
"locus230",0.9167,0.9286,0.8889,0.75,0.8889,0.875,1,0.8125,0.9091,0.9375,1,0.75,0.95,0.7857,0.875,1,0.8889,0.8333,0.8571,0.9444,0.9286,0.8333,0.8889,0.5556,0.9545,0.7917
"locus231",0.5,0.7857,0.6111,0.6111,0.625,0.7083,0.8,0.6429,0.4091,0.5833,0.5455,0.4286,0.5625,0.5833,0.5,0.5,0.5,0.5,0.5625,0.5,0.5,0.4091,0.3889,0.6,0.75,0.5
"locus232",0.9091,0.9375,0.9,1,0.9375,0.9167,1,0.875,1,1,0.7727,1,0.95,1,1,0.9545,0.9444,1,0.9375,1,1,0.9091,0.9,1,0.9,0.9167
"locus233",0.9167,0.8125,0.8333,0.75,1,0.9167,1,1,0.9545,0.6875,1,1,1,0.8333,0.9091,1,0.9375,1,1,0.9375,0.8571,0.9545,0.8571,0.8333,0.95,0.95
"locus234",0.9583,1,0.95,0.9545,1,0.8182,1,1,0.9545,1,0.9091,0.875,1,1,0.9167,1,1,1,0.9375,1,0.9286,1,1,0.9,0.9091,1
"locus235",0.15,0.3571,0,0.4,0.1111,0.3182,0,0.2222,0,0.375,0.1364,0,0,0,0.0833,0,0,0,0.0625,0,0.0833,0.0909,0.4286,0.15,0.05,0.3333
"locus236",0.8182,0.9375,1,0.95,1,0.9583,1,0.7778,0.8636,1,0.8636,1,0.95,1,1,1,0.8333,0.8333,1,1,1,0.9091,1,0.95,0.8636,0.8
"locus237",0.9583,0.9375,0.6875,0.9545,1,1,1,0.875,0.5833,0.9375,0.7727,1,0.95,0.875,1,1,1,1,0.9,0.875,1,1,0.95,0.7857,0.9091,1
"locus238",1,1,0.85,1,1,1,1,1,0.7727,1,1,1,1,0.875,0.8636,1,1,1,1,1,1,1,1,1,1,0.9583
"locus239",0.8333,0.9375,0.7778,1,1,0.9583,1,1,0.95,1,1,0.75,1,0.5714,0.9091,1,0.9444,0.8333,0.875,0.875,0.9286,0.9545,1,0.75,0.9545,1
"locus240",0.9167,0.9375,0.8125,0.9091,0.8889,0.9167,1,0.9444,0.8182,1,1,0.875,1,0.8125,0.9,1,0.9444,1,0.8571,0.9444,1,1,0.85,0.7222,1,0.9583
"locus241",0.9545,1,0.95,1,0.8571,0.875,1,0.8889,0.9545,1,0.9545,0.8571,1,0.9375,0.9583,1,0.9444,1,0.7857,0.8889,0.7857,0.9,1,0.9,0.9545,0.5714
"locus242",0.9583,0.9375,1,1,0.9444,1,1,0.8333,1,0.9375,1,1,0.9444,1,1,1,1,1,1,1,1,0.9545,0.95,1,1,0.9583
"locus243",1,0.7857,1,1,0.9444,0.8636,1,1,1,1,0.7857,1,0.8571,1,1,1,1,1,1,1,1,1,1,1,0.9545,1
"locus244",0.9167,0.5625,0.8125,0.875,0.0556,0.4,1,0.25,0.8889,0.75,0.1818,0.6875,0.05,0.625,0.6429,0.9545,1,1,0.75,0.9286,0.5833,0.9545,0.9375,0.4375,0.8333,0.15
"locus245",0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0.125,0,0,0,0,0.1111,0.0714,0,0,0.05,0,0
"locus246",0.4091,0.3333,0.45,0.4545,0.375,0.1667,0.4,0.5,0.3636,0.5714,0.15,0.5,0.05,0.4167,0.5,0.3333,0.3889,0.5,0.4167,0.5,0.3,0.5,0.45,0.3333,0.4,0.4583
"locus247",0.9583,0.9375,0.9,0.85,0.9444,0.9583,1,1,0.9545,1,0.9545,0.8125,1,0.8125,0.9091,1,1,1,0.9286,1,0.9286,1,0.9444,0.9444,1,1
"locus248",1,1,1,1,1,1,1,1,1,1,0.8,1,0.6667,1,1,1,1,1,1,0.9444,0.8571,1,1,1,1,1
"locus249",0.8333,0.8571,1,1,1,1,1,1,1,0.8125,0.9545,1,1,0.8125,0.875,1,1,1,1,0.9444,0.9286,0.75,1,0.95,0.9545,1
"locus250",0.125,0.6429,0.3333,0.75,1,0.75,0.3,0.6875,0,0.75,0.7,0.6,1,0.1875,0.5,0.4167,0.1667,0.5,0.5,0.2143,0.6667,0.5455,0.6,0.6111,0.5625,0.7778
"locus251",0.3,0.2,0.3889,0.3889,0.3333,0.2222,0,0.3125,0.1111,0.1667,0.2,0.25,0,0,0.35,0.0455,0.125,0.75,0.3571,0.2857,NA,0,0.0833,0.25,0.5,0.3
"locus252",1,0.9375,1,1,1,1,1,0.9444,1,0.9375,0.9545,0.9375,1,1,1,1,0.9444,1,1,1,0.8571,1,1,0.9444,0.9091,0.9545
"locus253",0.9545,0.9286,0.6875,0.7727,0.9,0.875,0.5,0.9375,0.9286,0.9167,0.5,0.9375,0.75,0.75,0.7727,0.6,0.8333,0.5,0.875,0.7857,0.8571,1,1,0.8,0.9545,0.9091
"locus254",0.9583,0.7857,1,0.7222,1,0.9545,0.9,0.9444,1,0.8125,0.9545,1,1,0.875,0.9583,1,0.8889,1,0.8125,0.9444,0.7857,0.9,0.7778,1,0.9,1
"locus255",0.9167,0.6429,0.8,0.45,0.7778,0.4091,1,0.2857,0.75,0.9286,0.8636,0.6429,0.7778,0.9375,0.4545,0.8636,1,1,0.7143,0.9375,0.1,0.8636,0.85,0.4444,0.9091,0.5
"locus256",1,1,0.95,0.8636,0.9444,0.9167,1,1,0.9091,1,1,0.9375,0.9,1,1,1,0.9444,1,1,1,1,1,1,1,1,1
"locus257",0.9167,0.9375,1,1,1,1,1,1,1,1,1,0.9375,1,0.9375,0.9583,1,0.8889,1,0.8125,0.9444,1,1,0.95,0.95,1,1
"locus258",1,0.875,0.9,1,1,0.9583,1,1,0.8636,1,0.9545,1,1,0.875,1,1,1,1,0.875,0.7222,1,1,1,0.9444,0.9545,0.875
"locus259",0.8182,0.9375,0.95,0.85,1,1,1,0.9444,0.8182,0.9375,0.9545,1,1,0.75,0.9545,0.8636,1,0.6667,1,0.9375,1,1,0.95,0.8889,1,1
"locus260",1,0.9375,0.95,1,1,0.9583,1,0.8333,1,1,1,1,0.9,0.9375,0.9583,1,1,1,1,1,1,1,1,1,1,0.9167
"locus261",1,0.8125,1,1,1,0.9583,1,1,1,0.875,0.9091,1,0.8,1,1,1,1,0.8333,1,1,1,0.9545,1,1,0.9091,1
"locus262",0.8,0.9375,1,0.7857,0.8889,0.9167,0.625,1,0.8636,1,1,1,0.85,0.8125,0.9583,1,0.7143,0.8333,0.9375,1,1,1,0.95,0.95,0.6111,1
"locus263",0.2,0.0625,0.15,0.0625,0,0.125,0,0.1667,0.2,0,0.1364,0.1429,0,0.1429,0.1818,0.0455,0.1875,0,0.1875,0.3571,0.2143,0.5,0.1,0.15,0.15,0
"locus264",1,1,0.85,1,1,1,1,0.8889,1,1,0.9545,1,1,1,0.7917,1,1,1,0.8125,1,1,1,1,1,1,1
"locus265",1,0.9167,1,1,1,0.875,1,1,1,1,0.7273,1,0.6,1,1,1,1,1,0.9375,1,1,1,1,1,1,0.9583
"locus266",0,0.125,0.05,0.0455,0,0,0,0,0.0455,0,0,0.0714,0,0.0625,0,0,0,0,0,0,0,0,0.1,0,0,0
"locus267",0.9583,0.8571,0.75,1,1,0.875,1,1,0.9545,1,0.95,1,1,0.5625,0.8333,0.9545,1,0.8333,0.75,0.6875,1,1,1,0.9,1,0.9583
"locus268",0.5,0.5,0.6667,0.75,0.3333,0.5556,NA,0.5,0.5,0.2857,0.15,0.5,0.1875,0.8125,0.6364,0,0.5,0.5,0.5833,0.5556,0.6,0.7,0.5,0.5,0.5,0.2273
"locus269",1,0.7857,0.875,1,0.875,0.9167,1,1,0.85,1,0.9545,0.8125,1,0.6875,0.85,1,1,1,0.8571,0.8889,1,0.7273,1,1,0.9545,0.9167
"locus270",0.875,1,0.8889,1,1,0.9583,1,1,0.9091,1,0.9545,1,1,1,0.9583,1,1,0.8333,1,1,1,1,1,0.9,0.9545,1
"locus271",0,0.9167,0.8333,0.4375,0.5,0.9583,NA,0.5714,0.75,0.875,1,0.5,1,0.5833,0.7917,1,0.25,0,0.75,0.75,0.3333,0.0556,0.1,0.7,0.45,0.3571
"locus272",0.9167,0.875,0.8,0.7,1,1,1,0.6429,0.9545,1,0.9545,0.6667,0.9,0.625,0.8333,1,0.8571,0.8333,0.7857,0.8125,0.9,0.9545,0.7778,0.7222,0.9,0.85
"locus273",0.8182,1,1,0.9444,1,1,1,1,0.9545,1,1,1,1,1,0.9583,1,0.7857,1,0.9375,1,1,1,0.7222,0.95,0.9545,1
"locus274",0.9583,0.875,0.85,0.9545,1,0.9583,1,1,0.9091,1,1,0.9375,1,0.9375,0.875,1,1,0.8333,0.875,1,0.8571,0.9091,1,0.8333,0.9545,0.9583
"locus275",0.85,1,0.8889,0.9,1,0.9167,0.9,0.9444,0.7273,1,1,0.9375,1,0.9286,0.7083,0.8636,0.9375,0.8333,0.8333,0.9375,0.9286,1,0.7,0.7222,0.8,1
"locus276",0.9167,0.875,0.9375,1,0.7778,0.625,1,0.875,0.8182,0.9375,1,0.9167,0.9286,0.875,0.85,1,1,1,0.625,1,1,1,0.9,0.85,0.6429,0.9091
"locus277",0.0556,0.5,0.25,0.1667,0.8125,0.5,1,0.3333,0.2778,0.25,0.6667,0.5,0.65,0.125,0.0909,0.0833,0.25,0.1667,0.1429,0.1111,0.5,0.15,0.4286,0.15,0.5,0.65
"locus278",0.9583,0.875,0.95,0.9091,1,0.8333,1,0.8889,0.8636,0.8125,0.5556,0.9375,0.875,0.8125,0.9167,1,0.8333,1,1,0.8333,0.9286,1,0.9,0.7,1,0.9167
"locus279",1,0.9375,1,0.8889,0.9444,0.9545,1,0.9444,1,1,0.95,1,0.8,1,0.9583,1,1,1,1,1,1,1,0.85,1,1,1
"locus280",1,1,0.95,1,0.9375,0.9583,1,1,0.9091,1,1,1,0.8333,0.875,1,1,1,1,0.9375,1,0.9286,1,1,0.9,1,1
"locus281",1,1,1,1,0.9444,0.9583,1,0.8889,1,1,0.6364,1,0.8889,1,1,1,1,1,1,1,1,1,1,1,1,0.9167
"locus282",0.9167,1,1,0.9091,1,1,1,1,1,1,0.9545,0.8125,1,1,1,0.9091,1,1,1,1,1,0.7778,0.8889,0.95,0.8,1
"locus283",0.5,0.625,0.5,0.5,0.4,0.45,0,0.6875,0.6,0.5714,0.3125,0.5714,0.4444,0.5,0.5455,0.25,0.5,0.5,0.6429,0.5,0.5,0.5,0.3571,0.5,0.55,0.5
"locus284",1,0.9167,0.9,0.8636,0.6667,0.7222,1,0.3333,0.9545,1,1,0.8333,1,0.9375,1,1,1,1,1,0.9444,0.25,0.6667,0.9444,0.95,0.9,0.4
"locus285",1,0.9375,1,0.8636,1,1,1,0.9444,0.9545,1,0.9545,0.6875,0.95,0.9375,0.875,1,0.9375,1,0.9375,1,0.9286,0.8571,0.85,0.75,1,0.9167
"locus286",1,1,1,0.9545,1,0.9167,0.75,1,1,1,1,0.875,1,1,0.9091,0.8,0.8889,1,0.9375,0.9444,1,1,0.95,0.9,1,0.9583
"locus287",1,0.875,0.9444,1,1,1,0.8,1,0.9091,1,1,0.9375,1,0.9375,0.875,1,1,0.8333,0.8125,0.8889,0.7857,1,1,0.8889,1,1
